City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,Yevlax,40.6089,47.1492,30.42,41,24,14.63,AZ,1643500494
310,Tekirdağ,40.978,27.5085,33.15,82,65,5.61,TR,1643500495
311,Inírida,3.8653,-67.9239,77.63,56,81,0.63,CO,1643500495
312,Nelson Bay,-32.7167,152.15,82.29,68,94,1.99,AU,1643500496
313,Lata,40.1629,-8.3327,48.72,52,0,5.5,PT,1643500496
314,Salinópolis,-0.6136,-47.3561,75.61,89,100,5.79,BR,1643500497
315,Aketi,2.7388,23.7833,66.65,39,2,2.3,CD,1643500497
316,Saint-Joseph,-21.3667,55.6167,75.58,82,24,11.36,RE,1643500498
317,Whitehorse,60.7161,-135.0538,23.09,78,75,5.99,CA,1643500498
318,Dolores,-36.3132,-57.6792,67.87,70,76,8.28,AR,1643500498
319,San Patricio,28.017,-97.5169,65.08,39,59,10.02,US,1643500499
320,Taylor,32.3001,-99.8337,63.86,17,0,17.27,US,1643500500
321,Kolpashevo,58.3131,82.9089,-4.31,100,100,4.59,RU,1643500501
322,Powell,40.1578,-83.0752,16.68,74,100,1.01,US,1643500502
323,Jalpan,21.2333,-99.4833,53.17,85,90,2.64,MX,1643500502
324,Belmonte,-15.8631,-38.8828,79.3,82,39,10.02,BR,1643500502
325,Kristiansund,63.1115,7.732,41.65,87,100,37.98,NO,1643500502
326,Fairbanks,64.8378,-147.7164,-5.98,72,40,0.0,US,1643500203
327,Poum,-20.2333,164.0167,81.79,76,52,8.5,NC,1643500503
328,Ucluelet,48.9329,-125.5528,43.11,91,100,1.99,CA,1643500503
329,Port Keats,-14.25,129.55,82.76,81,100,19.08,AU,1643500503
330,Dulce Nombre de Culmí,15.1,-85.5333,84.43,84,71,4.34,HN,1643500504
331,Sīrjān,29.452,55.6814,44.28,54,6,7.4,IR,1643500504
332,Kamennomostskoye,43.7372,43.0514,25.68,69,100,7.72,RU,1643500504
333,Valparaíso,-33.0393,-71.6273,71.83,60,0,11.5,CL,1643500360
334,Yenagoa,4.9247,6.2642,73.63,73,12,1.63,NG,1643500505
335,Conceição do Araguaia,-8.2578,-49.2647,71.98,95,91,3.85,BR,1643500505
336,Guatire,10.4762,-66.5427,82.9,92,55,2.39,VE,1643500506
337,Somerset,40.5668,-74.5496,19.81,54,100,1.01,US,1643500506
338,Kiryat Gat,31.61,34.7642,49.41,100,0,2.59,IL,1643500506
339,Nakamura,32.9833,132.9333,42.57,65,100,3.15,JP,1643500507
340,Rawson,-43.3002,-65.1023,79.39,32,73,12.71,AR,1643500507
341,Sabang,5.8933,95.3214,81.95,70,66,8.23,ID,1643500507
342,Jumla,29.2747,82.1838,31.12,43,0,4.97,NP,1643500509
343,Pitmoaga,12.2397,-1.8767,73.02,16,32,10.94,BF,1643500509
344,Kumluca,36.3703,30.2869,45.68,67,100,6.51,TR,1643500510
345,Longyearbyen,78.2186,15.6401,8.44,66,0,16.11,SJ,1643500510
346,Madimba,-10.4,40.3333,75.27,91,100,5.39,TZ,1643500510
347,Pontianak,-0.0333,109.3333,76.98,94,40,2.3,ID,1643500510
348,Abirāmam,9.4667,78.45,75.2,78,57,10.42,IN,1643500511
349,Sisimiut,66.9395,-53.6735,6.6,80,100,28.52,GL,1643500511
350,Rostovka,55.3842,71.8891,2.88,87,100,8.75,RU,1643500511
351,Mount Gambier,-37.8333,140.7667,69.71,78,100,10.36,AU,1643500512
352,Dahuk,36.8695,42.994,36.25,77,99,4.43,IQ,1643500512
